Hours studied,Pages written,Prediction
7,20,pass
2,25,pass
0,17,pass
5,13,fail
3,15,fail
4,23,pass
6,27,pass
8,23,pass
2,14,fail
4,18,pass
9,14,pass
1,14,fail
6,15,fail
7,16,pass
4,24,pass
8,26,pass
3,21,pass
7,20,pass
3,26,pass
6,14,fail
2,16,fail
9,15,pass
4,20,pass
5,16,pass
3,14,fail
6,23,pass
7,13,fail
3,18,fail
7,20,pass
2,25,pass
0,17,pass
5,13,fail
3,15,fail
4,23,pass
6,27,pass
8,23,pass
2,14,fail
4,18,pass
9,14,pass
1,14,fail
6,15,fail
7,16,pass
4,24,pass
8,26,pass
3,21,pass
7,20,pass
3,26,pass
6,14,fail
2,16,fail
9,15,pass
4,20,pass
5,16,pass
3,14,fail
6,23,pass
7,13,fail
3,18,fail
7,20,pass
2,25,pass
0,17,pass
5,13,fail
3,15,fail
4,23,pass
6,27,pass
8,23,pass
2,14,fail
4,18,pass
9,14,pass
1,14,fail
6,15,fail
7,16,pass
4,24,pass
8,26,pass
3,21,pass
7,20,pass
3,26,pass
6,14,fail
2,16,fail
9,15,pass
4,20,pass
5,16,pass
3,14,fail
6,23,pass
7,13,fail
3,18,fail
7,20,pass
2,25,pass
0,17,pass
5,13,fail
3,15,fail
4,23,pass
6,27,pass
8,23,pass
2,14,fail
4,18,pass
9,14,pass
1,14,fail
6,15,fail
7,16,pass
4,24,pass
8,26,pass
3,21,pass
7,20,pass
3,26,pass
6,14,fail
2,16,fail
9,15,pass
4,20,pass
5,16,pass
3,14,fail
6,23,pass
7,13,fail
3,18,fail
7,20,pass
2,25,pass
0,17,pass
5,13,fail
3,15,fail
4,23,pass
6,27,pass
8,23,pass
2,14,fail
4,18,pass
9,14,pass
1,14,fail
6,15,fail
7,16,pass
4,24,pass
8,26,pass
3,21,pass
7,20,pass
3,26,pass
6,14,fail
2,16,fail
9,15,pass
4,20,pass
5,16,pass
3,14,fail
6,23,pass
7,13,fail
3,18,fail
